feature,x2_str,y_str
"[[[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 ...

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]]",['s 3 3 5 / 9 5 0 + 3 9 2 /'],8
"[[[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 ...

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]]",['s 3 3 5 / 9 5 0 + 3 9 2 / 8'],2
"[[[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 ...

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]]",['s 3 3 5 / 9 5 0 + 3 9 2 / 8 2'],7
"[[[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 ...

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]]",['s 3 3 5 / 9 5 0 + 3 9 2 / 8 2 7'],=
"[[[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 ...

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]]",['s 3 3 5 / 9 5 0 + 3 9 2 / 8 2 7 ='],7
"[[[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 ...

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]]",['s 3 3 5 / 9 5 0 + 3 9 2 / 8 2 7 = 7'],7
"[[[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 ...

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]]",['s 3 3 5 / 9 5 0 + 3 9 2 / 8 2 7 = 7 7'],8
"[[[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 ...

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]]",['s 3 3 5 / 9 5 0 + 3 9 2 / 8 2 7 = 7 7 8'],/
"[[[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 ...

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]]",['s 3 3 5 / 9 5 0 + 3 9 2 / 8 2 7 = 7 7 8 /'],5
"[[[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 ...

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]]",['s 3 3 5 / 9 5 0 + 3 9 2 / 8 2 7 = 7 7 8 / 5'],1
"[[[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 ...

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]]",['s 3 3 5 / 9 5 0 + 3 9 2 / 8 2 7 = 7 7 8 / 5 1'],4
"[[[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 ...

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]

 [[245 238 255]
  [245 238 255]
  [245 238 255]
  ...
  [245 238 255]
  [245 238 255]
  [245 238 255]]]",['s 3 3 5 / 9 5 0 + 3 9 2 / 8 2 7 = 7 7 8 / 5 1 4'],e
"[[[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 ...

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]]",['s'],2
"[[[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 ...

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]]",['s 2'],8
"[[[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 ...

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]]",['s 2 8'],8
"[[[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 ...

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]]",['s 2 8 8'],/
"[[[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 ...

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]]",['s 2 8 8 /'],3
"[[[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 ...

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]]",['s 2 8 8 / 3'],3
"[[[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 ...

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]]",['s 2 8 8 / 3 3'],5
"[[[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 ...

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]]",['s 2 8 8 / 3 3 5'],+
"[[[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 ...

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]]",['s 2 8 8 / 3 3 5 +'],8
"[[[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 ...

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]]",['s 2 8 8 / 3 3 5 + 8'],2
"[[[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 ...

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]]",['s 2 8 8 / 3 3 5 + 8 2'],1
"[[[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 ...

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]]",['s 2 8 8 / 3 3 5 + 8 2 1'],/
"[[[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 ...

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]]",['s 2 8 8 / 3 3 5 + 8 2 1 /'],4
"[[[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 ...

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]]",['s 2 8 8 / 3 3 5 + 8 2 1 / 4'],5
"[[[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 ...

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]]",['s 2 8 8 / 3 3 5 + 8 2 1 / 4 5'],5
"[[[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 ...

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]]",['s 2 8 8 / 3 3 5 + 8 2 1 / 4 5 5'],=
"[[[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 ...

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]]",['s 2 8 8 / 3 3 5 + 8 2 1 / 4 5 5 ='],6
"[[[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 ...

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]]",['s 2 8 8 / 3 3 5 + 8 2 1 / 4 5 5 = 6'],4
"[[[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 ...

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]]",['s 2 8 8 / 3 3 5 + 8 2 1 / 4 5 5 = 6 4'],5
"[[[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 ...

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]]",['s 2 8 8 / 3 3 5 + 8 2 1 / 4 5 5 = 6 4 5'],/
"[[[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 ...

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]]",['s 2 8 8 / 3 3 5 + 8 2 1 / 4 5 5 = 6 4 5 /'],5
"[[[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 ...

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]]",['s 2 8 8 / 3 3 5 + 8 2 1 / 4 5 5 = 6 4 5 / 5'],8
"[[[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 ...

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]

 [[237 255 245]
  [237 255 245]
  [237 255 245]
  ...
  [237 255 245]
  [237 255 245]
  [237 255 245]]]",['s 2 8 8 / 3 3 5 + 8 2 1 / 4 5 5 = 6 4 5 / 5 8'],e
